,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Latitude,Longitude
0,kapaa,US,27.0,69,20,9.3,1605153958,22.08,-159.32
1,venice,US,26.11,94,90,8.7,1605153939,27.1,-82.45
2,hami,CN,10.16,40,0,1.38,1605153959,42.8,93.45
3,indian head,US,20.56,100,75,4.02,1605153959,38.6,-77.16
4,albany,US,16.11,81,100,3.25,1605153960,42.6,-73.97
5,mataura,NZ,14.44,79,40,8.49,1605153960,-46.19,168.86
6,saint-philippe,RE,25.0,57,20,2.6,1605153960,-21.36,55.77
7,laguna,US,10.0,75,1,0.6,1605153961,38.42,-121.42
8,vestmanna,FO,5.0,86,93,6.2,1605153961,62.16,-7.17
9,christchurch,NZ,17.0,59,30,6.2,1605153867,-43.53,172.63
10,gimli,CA,-5.0,79,100,4.1,1605153961,50.63,-96.99
11,bilibino,RU,-18.13,90,100,1.15,1605153961,68.05,166.44
12,punta arenas,CL,9.0,76,0,3.6,1605153961,-53.15,-70.92
13,naryan-mar,RU,-4.54,97,86,5.32,1605153962,67.67,53.09
14,jiayuguan,CN,7.07,40,54,2.67,1605153687,39.82,98.3
15,ushuaia,AR,10.0,71,40,6.2,1605153962,-54.8,-68.3
16,cherskiy,RU,-14.23,95,100,3.52,1605153962,68.75,161.3
17,asfi,MA,19.48,60,100,2.5,1605153962,32.3,-9.24
18,bereznik,RU,-0.06,96,92,4.07,1605153962,62.86,42.71
19,beringovskiy,RU,-6.49,92,100,4.53,1605153962,63.05,179.32
20,teguise,ES,20.0,82,0,2.6,1605153962,29.06,-13.56
21,ishikari,JP,10.0,61,20,3.1,1605153963,43.24,141.35
22,port lincoln,AU,17.34,61,92,8.5,1605153963,-34.73,135.87
23,gararu,BR,21.9,83,46,2.07,1605153963,-9.97,-37.08
24,abu zabad,SD,21.35,25,0,5.92,1605153963,12.35,29.25
25,mahebourg,MU,23.0,83,40,2.1,1605153963,-20.41,57.7
26,saskylakh,RU,-20.83,89,100,1.64,1605153963,71.92,114.08
27,port blair,IN,28.72,73,43,8.67,1605153963,11.67,92.75
28,wajima,JP,12.0,71,40,4.1,1605153963,37.4,136.9
29,nikolskoye,RU,6.0,93,90,3.0,1605153963,59.7,30.79
30,tuktoyaktuk,CA,-17.0,77,75,3.6,1605153964,69.45,-133.04
31,busselton,AU,17.22,71,92,3.13,1605153964,-33.65,115.33
32,klaksvik,FO,5.0,86,100,6.2,1605153964,62.23,-6.59
33,chokurdakh,RU,-25.51,91,79,1.24,1605153964,70.63,147.92
34,la brea,HN,23.65,91,68,0.77,1605153964,15.8,-85.97
35,hilo,US,26.0,65,90,3.6,1605153964,19.73,-155.09
36,saint-pierre,RE,25.0,57,20,2.6,1605153964,-21.34,55.48
37,hermanus,ZA,16.67,82,0,2.24,1605153965,-34.42,19.23
38,sioux lookout,CA,-3.0,79,90,2.6,1605153672,50.1,-91.92
39,dikson,RU,-15.32,94,97,1.73,1605153965,73.51,80.55
40,ribeira grande,PT,16.55,57,100,2.59,1605153965,38.52,-28.7
41,lapeer,US,3.0,74,1,2.1,1605153733,43.05,-83.32
42,vila,PT,9.44,90,99,1.58,1605153965,42.03,-8.16
43,moose factory,CA,-6.0,92,1,3.1,1605153965,51.26,-80.61
44,halifax,CA,16.11,93,100,8.2,1605153702,44.65,-63.57
45,vilhena,BR,20.0,98,100,0.99,1605153965,-12.74,-60.15
46,bethel,US,18.33,100,90,1.5,1605153966,41.37,-73.41
47,new norfolk,AU,22.78,49,96,2.68,1605153966,-42.78,147.06
48,rikitea,PF,22.46,75,22,8.75,1605153966,-23.12,-134.97
49,clyde river,CA,-11.0,85,90,13.9,1605153966,70.47,-68.59
50,mala,PE,17.32,80,88,2.0,1605153966,-12.66,-76.63
51,azua,DO,15.56,1,87,1.85,1605153966,18.45,-70.73
52,east london,ZA,15.0,82,0,2.6,1605153967,-33.02,27.91
53,rio blanco,MX,18.79,77,64,0.24,1605153967,18.83,-97.15
54,buchanan,LR,25.18,85,100,1.46,1605153911,5.88,-10.05
55,mar del plata,AR,17.22,82,0,2.6,1605153738,-38.0,-57.56
56,port alfred,ZA,17.11,80,0,7.3,1605153967,-33.59,26.89
57,khatanga,RU,-23.87,91,60,0.73,1605153967,71.97,102.5
58,hobart,AU,24.0,41,40,11.3,1605153954,-42.88,147.33
59,arraial do cabo,BR,22.73,93,100,3.93,1605153711,-22.97,-42.03
60,norman wells,CA,-25.0,83,20,1.5,1605153967,65.28,-126.83
61,tecpan,GT,19.0,88,75,1.0,1605153968,14.76,-90.99
62,jamestown,US,6.67,87,90,5.1,1605153838,42.1,-79.24
63,coihaique,CL,12.0,76,75,1.0,1605153968,-45.58,-72.07
64,atuona,PF,25.46,75,3,5.26,1605153968,-9.8,-139.03
65,bambous virieux,MU,25.56,83,40,2.1,1605153968,-20.34,57.76
